"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-05"",3.93,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-06"",4.08,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-07"",3.91,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-08"",3.75,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-09"",3.67,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-10"",3.78,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-11"",3.7,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-12"",3.95,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-01"",4.12,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-02"",3.97,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-03"",4.07,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-04"",4.2,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-05"",4.44,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-06"",4.62,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-07"",4.45,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-08"",4.38,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-09"",4.42,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-10"",4.4,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-11"",4.37,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-12"",4.5,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-01"",4.21,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-02"",4.22,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-03"",4.3,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-04"",4.59,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-05"",4.73,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-06"",4.96,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-07"",4.78,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-08"",4.56,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-09"",4.56,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-10"",4.55,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-11"",4.57,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-12"",4.57,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-01"",5.7,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-02"",5.75,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-03"",5.52,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-04"",5.27,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-05"",5.53,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-06"",5.79,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-07"",5.04,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-08"",4.87,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-09"",4.71,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-10"",4.76,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-11"",4.91,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2009-12"",4.94,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-01"",4.83,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-02"",4.59,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-03"",4.53,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-04"",5.2,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-05"",4.74,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-06"",5.5,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-07"",5.04,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-08"",5.68,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-09"",6.57,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-10"",6.92,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-11"",9.25,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2010-12"",9.06,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-01"",9.15,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-02"",9.29,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-03"",10.22,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-04"",10.47,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-05"",11.03,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-06"",11.7,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-07"",10.85,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-08"",8.63,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-09"",7.64,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-10"",8.15,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-11"",9.32,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2011-12"",8.48,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-01"",7.29,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-02"",7.01,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-03"",6.84,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-04"",6.82,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-05"",7.23,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-06"",6.33,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-07"",5.98,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-08"",5.86,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-09"",5,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-10"",4.66,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-11"",4.43,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2012-12"",4.45,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-01"",4.06,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-02"",3.77,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-03"",4.22,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-04"",3.52,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-05"",3.85,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-06"",4.07,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-07"",3.88,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-08"",4.19,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-09"",3.88,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-10"",3.5,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-11"",3.53,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2013-12"",3.47,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-01"",3.31,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-02"",3.1,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-03"",3.01,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-04"",2.82,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-05"",2.59,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-06"",2.36,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-07"",2.21,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-08"",1.78,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-09"",1.65,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-10"",1.71,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-11"",1.38,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2014-12"",1.25,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-01"",1.16,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-02"",0.86,"
